Date,AccountValue
2007-10-18,100000.0
2007-10-19,99617.0
2007-10-22,99685.0
2007-10-23,99789.0
2007-10-24,99696.0
2007-10-25,99734.0
2007-10-26,99881.0
2007-10-29,99963.0
2007-10-30,99902.0
2007-10-31,100011.0
2007-11-01,99720.0
2007-11-02,99751.0
2007-11-05,99675.0
2007-11-06,99791.0
2007-11-07,99471.0
2007-11-08,99407.0
2007-11-09,99272.0
2007-11-12,99163.0
2007-11-13,99508.0
2007-11-14,99443.0
2007-11-15,99298.0
2007-11-16,99395.0
2007-11-19,99162.0
2007-11-20,99180.0
2007-11-21,98973.0
2007-11-23,99153.0
2007-11-26,98887.0
2007-11-27,99041.0
2007-11-28,99339.0
2007-11-29,99353.0
2007-11-30,99428.0
2007-12-03,99385.0
2007-12-04,99312.0
2007-12-05,99470.0
2007-12-06,99623.0
2007-12-07,99636.0
2007-12-10,99718.0
2007-12-11,99423.0
2007-12-12,99512.0
2007-12-13,99556.0
2007-12-14,99401.0
2007-12-17,99208.0
2007-12-18,99259.0
2007-12-19,99218.0
2007-12-20,99279.0
2007-12-21,99515.0
2007-12-24,99588.0
2007-12-26,99597.0
2007-12-27,99459.0
2007-12-28,99434.0
2007-12-31,100660.0
2008-01-02,100526.0
2008-01-03,100433.0
2008-01-04,100125.0
2008-01-07,100077.0
2008-01-08,99864.0
2008-01-09,100092.0
2008-01-10,100182.0
2008-01-11,100027.0
2008-01-14,100139.0
2008-01-15,99824.0
2008-01-16,99744.0
2008-01-17,99424.0
2008-01-18,99371.0
2008-01-22,99162.0
2008-01-23,99356.0
2008-01-24,99468.0
2008-01-25,99339.0
2008-01-28,99503.0
2008-01-29,99559.0
2008-01-30,99477.0
2008-01-31,99468.0
2008-02-01,99754.0
2008-02-04,99691.0
2008-02-05,99449.0
2008-02-06,99380.0
2008-02-07,99487.0
2008-02-08,99397.0
2008-02-11,99470.0
2008-02-12,99559.0
2008-02-13,99689.0
2008-02-14,99588.0
2008-02-15,99648.0
2008-02-19,99670.0
2008-02-20,99676.0
2008-02-21,99544.0
2008-02-22,99615.0
2008-02-25,99763.0
